@relation dataset-har-PUC-Rio-ugulino-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-weka.filters.unsupervised.attribute.Standardize

@attribute user {debora,katia,wallace,jose_carlos}
@attribute gender {Woman,Man}
@attribute age numeric
@attribute how_tall_in_meters numeric
@attribute weight numeric
@attribute body_mass_index numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 {-147.0,-145.0,-144.0,-142.0,-143.0,-146.0,-138.0,-139.0,-141.0,-133.0,-134.0,-135.0,-140.0,-137.0,-148.0,-151.0,-149.0,-150.0,-152.0,-156.0,-157.0,-155.0,-154.0,-153.0,-158.0,-159.0,-162.0,-163.0,-161.0,-160.0,-164.0,-165.0,-136.0,-126.0,-125.0,-122.0,-132.0,-167.0,-170.0,-169.0,-175.0,-173.0,-166.0,-168.0,-171.0,-172.0,-174.0,-179.0,-177.0,-176.0,-127.0,-131.0,-184.0,-181.0,-178.0,-180.0,-106.0,-114.0,-116.0,-115.0,-89.0,-79.0,-93.0,-78.0,-128.0,-109.0,-113.0,-119.0,-102.0,-111.0,-103.0,-130.0,-129.0,-182.0,-121.0,-186.0,-183.0,-187.0,-190.0,-188.0,-189.0,-185.0,-192.0,-191.0,-193.0,-194.0,-197.0,-196.0,-201.0,-251.0,-195.0,-199.0,-198.0,-123.0,-124.0,-112.0,-118.0,-120.0,-99.0,-95.0,-68.0,-110.0,-117.0,-96.0,-100.0,-105.0,-92.0,-88.0,-107.0,-213.0,-108.0,-104.0,-98.0,-94.0,-91.0,-97.0,-69.0,-101.0,-86.0,-82.0,-66.0,-77.0,-90.0,-56.0,-74.0,-83.0,-81.0,-219.0,-200.0,-221.0,-80.0,-231.0,-210.0,-71.0,-207.0,-209.0,-202.0,-205.0,-208.0,-211.0,-214.0,-203.0,-204.0,-212.0,-206.0,-216.0,-73.0,'-14420-11-2011 04:50:23.713',-43.0,-537.0,-218.0,-215.0,-259.0}
@attribute class {sitting,sittingdown,standing,standingup,walking}

@data
katia,Woman,-0.779743,-1.128754,-1.39773,-1.394405,-1.847705,-2.154414,1.464882,-1.054836,-1.007132,-0.89593,0.24909,0.086536,-0.155539,0.387212,-0.022527,-163.0,sitting
katia,Woman,-0.779743,-1.128754,-1.39773,-1.394405,-2.021478,-2.531101,1.618432,-1.125135,-1.573904,-1.467577,0.289062,0.046769,0.226382,0.54481,-0.072867,-171.0,sitting
debora,Woman,0.578694,-0.370229,0.374144,0.807705,-0.283751,0.063859,-0.249759,0.544467,0.678652,0.314314,1.188431,-1.126348,-0.943252,-0.138114,-0.978989,-153.0,walking
wallace,Man,-0.553337,1.336452,1.082894,0.740975,-0.023092,0.27313,-0.428901,0.626483,0.688341,0.283414,0.129175,0.345019,0.202511,0.098283,0.933934,-162.0,standing
katia,Woman,-0.779743,-1.128754,-1.39773,-1.394405,1.193317,0.314984,-0.403309,-2.361227,-2.242404,-2.260673,0.34902,0.325136,-0.943252,-0.558375,0.128493,-176.0,walking
wallace,Man,-0.553337,1.336452,1.082894,0.740975,2.931044,0.524255,-0.172984,0.362861,0.310492,0.829311,1.028543,-0.887748,0.775393,1.647995,-0.576268,-176.0,standingup
jose_carlos,Man,2.767287,0.577927,-0.334605,-0.727099,-0.196865,0.231276,-0.019434,0.509318,0.208764,0.798411,-1.589619,-0.370781,-0.871641,1.54293,-1.98579,-128.0,sitting
wallace,Man,-0.553337,1.336452,1.082894,0.740975,0.585112,-0.815079,-1.554934,0.509318,0.625366,0.458513,-0.730222,0.106419,0.488952,0.282147,0.279513,-168.0,standingup
debora,Woman,0.578694,-0.370229,0.374144,0.807705,0.585112,-0.061704,1.208965,0.398011,0.363779,0.808711,-0.130643,0.046769,0.083161,-0.111848,-0.022527,-150.0,sitting
wallace,Man,-0.553337,1.336452,1.082894,0.740975,-0.631296,0.189422,-0.428901,0.60305,0.688341,0.267964,0.289062,0.345019,0.321862,0.203348,0.782914,-150.0,standing
jose_carlos,Man,2.767287,0.577927,-0.334605,-0.727099,-0.631296,0.147567,-1.529343,0.46831,0.678652,0.417313,-0.010727,0.325136,-0.29876,-0.663441,0.732574,-153.0,standing
debora,Woman,0.578694,-0.370229,0.374144,0.807705,1.627749,2.658819,-0.480084,0.497601,0.668964,0.762361,-0.430433,0.185952,0.417342,0.124549,0.631894,-169.0,walking
katia,Woman,-0.779743,-1.128754,-1.39773,-1.394405,0.150681,0.063859,-0.531268,0.497601,0.644743,0.453363,0.029245,0.066652,-0.46585,-0.584642,0.027813,-145.0,sittingdown
debora,Woman,0.578694,-0.370229,0.374144,0.807705,0.41134,0.649818,-0.147393,0.591333,0.688341,0.345214,-0.050699,0.007002,0.512822,0.25588,0.027813,-154.0,sittingdown
wallace,Man,-0.553337,1.336452,1.082894,0.740975,0.063794,0.147567,-0.403309,0.591333,0.688341,0.283414,0.049231,0.305252,0.321862,0.203348,0.682234,-149.0,standing
debora,Woman,0.578694,-0.370229,0.374144,0.807705,-0.805069,0.314984,0.134116,0.509318,0.659275,0.324614,0.149161,0.185952,-0.012319,0.282147,-0.777629,-169.0,walking
wallace,Man,-0.553337,1.336452,1.082894,0.740975,-0.109978,0.314984,-0.736001,0.503459,0.698029,0.206164,0.129175,0.265486,0.154771,-0.243179,0.732574,-155.0,standing
