@relation dataset-har-PUC-Rio-ugulino-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V-weka.filters.unsupervised.instance.RemovePercentage-P90.0-weka.filters.unsupervised.attribute.Standardize

@attribute user {debora,katia,wallace,jose_carlos}
@attribute gender {Woman,Man}
@attribute age numeric
@attribute how_tall_in_meters numeric
@attribute weight numeric
@attribute body_mass_index numeric
@attribute x1 numeric
@attribute y1 numeric
@attribute z1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute z2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute z3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute z4 numeric
@attribute class {sitting,sittingdown,standing,standingup,walking}

@data
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-2.227878,-2.56691,1.557485,-1.133338,-1.515919,-0.983298,0.240746,0.106696,-0.177934,0.367153,-0.073872,-0.263373,sitting
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-0.64624,-1.884286,1.913756,0.491907,0.135865,0.788511,0.259612,0.052029,0.345729,0.550354,-0.124119,-0.4155,sitting
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.935399,-0.732357,0.794047,0.378794,0.096537,0.783285,0.957667,-0.804432,-0.112476,2.094477,-1.782272,0.116945,sitting
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.496055,0.078259,-1.292684,-1.561974,-1.334026,-1.610487,-0.419577,0.161364,0.476644,-0.836739,0.629586,0.877581,sittingdown
debora,Woman,0.599345,-0.374648,0.365034,0.799543,0.496055,0.206251,-0.834621,-1.002366,-1.491339,-1.547768,3.278228,0.635151,-3.123535,0.105438,0.830575,0.269072,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-0.031158,0.504899,-0.122079,0.48,0.22927,0.872137,0.335077,0.088474,0.542102,-1.36017,-1.279801,-0.111246,standingup
jose_carlos,Man,2.820697,0.571044,-0.34295,-0.736796,-0.206896,0.248915,-1.369028,0.450234,0.681544,0.396518,-0.04225,0.325367,-0.265211,-0.391822,0.780328,-0.035182,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,-0.470502,0.291579,-0.783726,0.53358,0.71104,0.375612,-0.212047,0.288922,0.323909,-0.470337,-0.023625,1.105772,sittingdown
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-0.206896,1.827484,-0.809173,-2.413292,-2.287734,-2.310848,1.391593,0.234254,-0.439765,-0.339479,1.93601,0.269072,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-1.788534,-2.609574,1.710173,-0.585636,-0.714607,-0.821274,0.391676,0.052029,-0.156115,0.236296,0.026622,-0.491564,sitting
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-1.964272,-2.950886,1.608381,-1.073805,-1.029232,-0.85786,0.37281,0.070251,-0.177934,0.157781,0.127116,-0.643691,sitting
debora,Woman,0.599345,-0.374648,0.365034,0.799543,1.199005,0.334243,0.361432,0.49786,0.66188,0.553316,-0.004517,0.088474,-0.047018,-0.051592,-0.124119,-0.795818,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-2.491484,-0.903014,-1.369028,-2.115628,-2.012437,-2.01816,0.825603,1.272941,-0.919789,-0.339479,3.141939,-0.719755,walking
debora,Woman,0.599345,-0.374648,0.365034,0.799543,-0.294765,-1.07367,1.12487,0.456187,0.317758,0.704886,-0.230913,-0.166642,0.520283,0.183952,-0.727084,-0.719755,sitting
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-2.05214,-2.438918,1.659277,-1.115478,-1.530667,-1.087829,0.221879,0.106696,-0.177934,0.288639,-0.073872,-0.187309,sitting
wallace,Man,-0.549631,1.327598,1.073019,0.732745,1.55048,-0.433709,-0.376558,-2.413292,-2.287734,-2.310848,0.014349,0.434702,-0.177934,-1.517199,0.579339,-1.936772,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,1.023267,0.462235,-0.503798,-2.258507,-2.155002,-2.169731,0.014349,0.398257,-0.701596,-0.02542,0.378351,-1.632518,walking
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.935399,-0.775022,0.794047,0.378794,0.288262,0.778058,1.20293,-0.549316,-1.072524,1.780418,-1.330049,-2.012836,sitting
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.583923,0.419571,-1.038205,0.301402,0.20469,0.772832,0.863335,-0.877323,0.934849,1.937447,-2.988201,3.083426,sitting
wallace,Man,-0.549631,1.327598,1.073019,0.732745,-0.206896,-0.433709,-0.73283,-2.079909,-2.140254,-2.159278,0.033216,0.234254,0.345729,-1.255484,1.08181,0.725454,walking
debora,Woman,0.599345,-0.374648,0.365034,0.799543,0.583923,-0.007069,1.150318,0.384748,0.35217,0.804191,-0.155448,0.070251,0.192994,0.131609,-0.073872,0.573327,sitting
jose_carlos,Man,2.820697,0.571044,-0.34295,-0.736796,-0.64624,0.120923,-1.59806,0.450234,0.676628,0.396518,-0.004517,0.325367,-0.243392,-0.653538,0.629586,0.801518,standing
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,0.320317,0.632891,-0.122079,0.539533,0.656964,0.244948,0.335077,0.052029,0.280271,-0.732052,0.579339,0.193009,standing
debora,Woman,0.599345,-0.374648,0.365034,0.799543,-0.294765,0.206251,-0.020287,0.509767,0.6373,0.27108,-0.061116,-0.020862,0.062078,0.053095,-0.576343,-0.111246,standing
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-1.34919,-2.396254,1.86286,-1.055945,-1.565079,-1.43801,0.184147,0.088474,0.171174,0.47184,0.026622,-0.719755,sitting
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,0.671792,0.504899,-0.223871,0.521673,0.66188,0.255401,0.052082,-0.184865,0.040259,-0.86291,0.428598,-0.263373,standing
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,0.671792,0.504899,0.157848,0.485953,0.66188,0.244948,-0.079982,-0.239533,0.738475,-0.679709,0.328104,-0.035182,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.320317,0.291579,-0.376558,0.599066,0.681544,0.265854,0.089815,0.325367,0.214813,0.105438,0.780328,0.801518,standing
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-1.085584,0.803547,-0.707382,-2.419246,-2.29265,-2.310848,1.882118,-0.22131,-1.705282,0.183952,0.931069,-1.024009,walking
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.232448,0.760883,-0.783726,0.396654,0.691376,0.192682,1.014266,2.129401,-0.025199,-1.412513,2.538974,0.269072,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-2.227878,-2.78023,1.582933,-0.692795,-0.788347,-0.883993,0.391676,0.052029,-0.156115,0.183952,-0.023625,-0.491564,sitting
debora,Woman,0.599345,-0.374648,0.365034,0.799543,0.144579,0.376907,0.514119,0.48,0.578307,0.312893,0.297345,-0.075529,0.651198,0.340982,-0.475849,0.725454,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,-0.206896,0.206251,-0.503798,0.866963,0.460323,0.260627,0.146414,0.34359,0.214813,0.157781,0.981316,-0.339436,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,0.320317,0.120923,-0.47835,0.241869,0.20469,0.751925,0.750137,-0.986658,0.520283,1.701903,-0.978319,-2.469218,standingup
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,-0.031158,0.035595,-0.529246,-1.948937,-1.894452,-1.897949,0.184147,0.361812,-0.788873,-0.732052,0.22761,-0.871882,walking
wallace,Man,-0.549631,1.327598,1.073019,0.732745,-0.119027,0.248915,-0.758278,0.545486,0.68646,0.187455,0.259612,0.270699,0.214813,-0.208621,0.880822,-0.187309,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,-0.294765,0.163587,-0.631038,0.49786,0.696292,0.218815,-0.098849,0.963157,0.542102,-0.758224,1.232551,-1.480391,walking
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,0.320317,0.675555,-0.656486,-2.419246,-2.29265,-2.310848,0.410543,0.106696,0.30209,-1.01994,0.076869,1.105772,standingup
debora,Woman,0.599345,-0.374648,0.365034,0.799543,-0.119027,0.504899,-0.274767,0.53358,0.6373,0.255401,0.108681,0.070251,-0.068837,-0.287136,0.177363,-0.035182,standing
wallace,Man,-0.549631,1.327598,1.073019,0.732745,1.023267,-0.817686,0.870391,0.378794,0.101453,0.783285,0.863335,-0.877323,0.01844,1.98979,-2.083754,-0.795818,sitting
katia,Woman,-0.779426,-1.131202,-1.404927,-1.404769,0.496055,0.632891,-0.122079,0.485953,0.676628,0.260627,0.410543,-0.057307,0.738475,-0.391822,0.428598,0.269072,standing
jose_carlos,Man,2.820697,0.571044,-0.34295,-0.736796,-0.382633,0.291579,-0.071183,0.402608,0.175193,0.788511,-1.476092,-0.312423,-0.854331,1.64956,-2.184248,1.638217,sitting
